,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
3785,28642,NR,111.0,WORLDCLASS,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,10,43,6
3786,3836,PG-13,101.0,POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,NOT THAT POPULAR,5,19,5
3787,178,G,100.0,POPULAR,NOT POPULAR,Documentary,NOT POPULAR,NOT POPULAR,5,7,0
3788,7253,R,93.0,SUPER POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,30,70,14
3789,2517,R,96.0,WORLDCLASS,POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,35,71,18
3790,7853,PG-13,108.0,SUPER POPULAR,POPULAR,Drama,SUPER POPULAR,POPULAR,10,10,17
3791,3282,R,114.0,WORLDCLASS,POPULAR,Drama,PRETTY DECENT,POPULAR,1,12,0
3793,371395,PG-13,104.0,WORLDCLASS,POPULAR,Action & Adventure,POPULAR,POPULAR,34,87,55
3794,980,PG-13,120.0,NOT THAT POPULAR,NOT POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,0,1,4
3795,1036,NR,90.0,SUPER POPULAR,NOT THAT POPULAR,Classics,POPULAR,NOT THAT POPULAR,5,12,3
3796,11247,PG,103.0,WORLDCLASS,POPULAR,Classics,PRETTY DECENT,PRETTY DECENT,0,2,5
3797,90,R,90.0,WORLDCLASS,POPULAR,Action & Adventure,POPULAR,NOT THAT POPULAR,1,0,6
3798,204,NR,108.0,POPULAR,POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,9,11,17
3799,4763,R,83.0,SUPER POPULAR,POPULAR,Art House & International,POPULAR,PRETTY DECENT,4,9,13
3800,24148,NC17,175.0,SUPER POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,45,172,21
3801,49099,PG-13,98.0,SUPER POPULAR,POPULAR,Comedy,SUPER POPULAR,SUPER POPULAR,59,207,21
3802,2392,NR,85.0,NOT THAT POPULAR,PRETTY DECENT,Drama,NOT THAT POPULAR,PRETTY DECENT,11,29,3
3803,55780,R,104.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,SUPER POPULAR,POPULAR,8,2,22
3804,12754,PG-13,106.0,SUPER POPULAR,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,14,16,25
3806,19,NR,85.0,WHO?,WHO?,Documentary,NOT POPULAR,NOT POPULAR,10,20,1
3807,19655,R,90.0,POPULAR,PRETTY DECENT,Mystery & Suspense,PRETTY DECENT,PRETTY DECENT,39,136,6
3808,1791,R,90.0,PRETTY DECENT,POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,0,2,3
3809,90,R,91.0,WORLDCLASS,WHO?,Drama,WHO?,WHO?,14,32,3
3810,201576,PG-13,94.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,SUPER POPULAR,POPULAR,21,25,44
3811,1936,R,97.0,NOT THAT POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,0,4,1
3812,9214,R,109.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,POPULAR,POPULAR,0,17,5
3813,59213,R,120.0,SUPER POPULAR,WORLDCLASS,Drama,PRETTY DECENT,POPULAR,51,182,27
3814,77039,R,120.0,WORLDCLASS,POPULAR,Drama,POPULAR,POPULAR,21,72,5
3815,256003,R,133.0,WORLDCLASS,POPULAR,Action & Adventure,SUPER POPULAR,POPULAR,11,49,9
3816,59220,PG-13,123.0,WORLDCLASS,POPULAR,Comedy,SUPER POPULAR,POPULAR,13,21,25
3817,116,R,115.0,SUPER POPULAR,NOT THAT POPULAR,Classics,PRETTY DECENT,PRETTY DECENT,1,5,1
